URL,Valid,"HTTP Status Code","Status Meaning",Category,"Response Time (ms)",Redirected,"Redirect Count","Final URL",Error,"Checked At"
https://www.google.com,Yes,200,OK,Online,1310.95,No,0,https://www.google.com/,,"2026-04-27 01:44:21"
https://www.github.com,Yes,200,OK,Online,3215.37,Yes,1,https://github.com/,,"2026-04-27 01:44:23"
https://www.wikipedia.org,Yes,200,OK,Online,291.03,No,0,https://www.wikipedia.org/,,"2026-04-27 01:44:26"
https://www.php.net,Yes,200,OK,Online,466.54,No,0,https://www.php.net/,,"2026-04-27 01:44:26"
https://httpbin.org/status/200,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",144.7,No,0,https://httpbin.org/status/200,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
http://www.google.com,Yes,200,OK,Online,166.55,No,0,http://www.google.com/,,"2026-04-27 01:44:27"
https://httpbin.org/redirect/1,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",1.78,No,0,https://httpbin.org/redirect/1,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
https://httpbin.org/status/404,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",1.85,No,0,https://httpbin.org/status/404,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
https://httpbin.org/status/403,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",2.35,No,0,https://httpbin.org/status/403,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
https://httpbin.org/status/500,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",1.83,No,0,https://httpbin.org/status/500,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
https://httpbin.org/status/503,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",1.83,No,0,https://httpbin.org/status/503,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
not-a-url,No,,"Invalid or malformed URL","Invalid URL",,No,0,,"Invalid or malformed URL","2026-04-27 01:44:27"
ftp://unsupported-scheme.com,No,,"Invalid or malformed URL","Invalid URL",,No,0,,"Invalid or malformed URL","2026-04-27 01:44:27"
just-some-text,No,,"Invalid or malformed URL","Invalid URL",,No,0,,"Invalid or malformed URL","2026-04-27 01:44:27"
https://httpbin.org/delay/2,Yes,,"Could not resolve host (DNS failure)","Timeout / Failed",1.65,No,0,https://httpbin.org/delay/2,"Could not resolve host (DNS failure)","2026-04-27 01:44:27"
